id_transaccion,id_cliente,monto,fecha,id_tienda,id_clientes,edad,preferencias,geolocalizacion,Timestamp,ingresos,puntos_lealtad,gastos_mensuales,pais,ingresos_norm,puntos_lealtad_norm,gastos_mensuales_norm,segmento_cliente,monto_mxn,monto_eur,PC1,PC2,PC3,cluster
33,5,10594.9,1993-08-21,19,5,34,pesca,Chile,,29732.96,4930.0,4736.71,Japón,0.5866992162531189,0.493147944383315,0.4683701750964702,Premium Joven,183079.87,9090.42,3.1066408803624066,0.31256462608308083,0.0250191955042224,2
34,70,4972.88,1999-03-10,4,70,20,yosakoi,Canadá,2015-07-18,10930.67,384.0,2175.26,Corea del Sur,0.202723080322517,0.03841152345703711,0.20955497871540688,Estándar Joven,85931.37,4266.73,-0.3603817854435327,0.2351554302142611,0.7798251732588242,1
35,7,7497.38,2009-11-11,1,7,74,pesca,Estados Unidos,2009-10-29,39562.37,5141.0,5336.54,Nicaragua,0.7874332156902949,0.5142542762828849,0.5289784708841113,Premium Senior,129554.73,6432.75,1.2217594925178825,1.210529902982204,-0.06018398244345392,0
36,12,215.41,2008-09-19,20,12,85,acampar,Argelia,2003-04-06,20503.56,5286.0,1077.28,Japón,0.3982184860357945,0.5287586275882765,0.09861238396537073,Básico,3722.28,184.82,-3.268321803901736,0.5845042337277753,-1.6520056755403667,3
38,17,4070.47,2009-08-08,12,17,45,escultura,Australia,2022-09-10,29429.56,7161.0,9984.75,Desconocido,0.5805032497170564,0.7163148944683405,0.9986450206783383,Estándar Senior,70337.72,3492.46,-0.6726656336543592,-1.4859325227737905,1.0247733786353943,1
39,48,8533.09,1992-09-21,8,48,66,deportes,Alemania,1986-08-22,25644.82,8101.0,8979.48,Corea del Sur,0.5032121409903009,0.8103431029308793,0.8970700719321236,Premium Senior,147451.8,7321.39,2.0045037815335838,-1.4048127909061126,0.054897492661383794,2
40,13,2687.96,1991-08-05,19,13,53,television,Estados Unidos,1999-09-25,29536.9,4930.0,7254.89,México,0.5826953230459323,0.493147944383315,0.7228132644493237,Básico,46447.95,2306.27,-1.6066841855753788,-0.2930822173658284,0.8361007351722922,3
41,72,5089.93,2020-10-05,19,72,46,"comida,viajes",Chile,2023-12-08,11236.15,678.0,9910.42,Japón,0.20896152415058689,0.06782034610383116,0.9911345349975699,Estándar Senior,87953.99,4367.16,-0.07399685483949033,-1.2310826096461616,2.9875778650727334,1
42,73,5347.575,2001-01-27,3,73,76,carpinteria,Ucrania,2000-06-03,22942.22,6797.0,173.19,Desconocido,0.44802025186583555,0.6799039711913574,0.007260910816897934,Estándar Senior,92406.1,4588.22,-0.18185309287531518,0.6627769508988615,-2.457655648300854,2
43,66,7098.63,1984-01-18,3,66,59,"comida,viajes",Israel,1987-07-01,49377.04,4930.0,319.78,Japón,0.9878661981639192,0.493147944383315,0.022072724296567682,Premium Senior,122664.33,6090.62,0.8208752877880542,2.9271835618944597,-1.398377846026592,0
45,24,9605.7,2009-11-01,3,24,52,la uas,Sudafrica,1996-07-17,45732.16,5431.0,1743.06,Canadá,0.9134312788891535,0.5432629788936681,0.16588442966081057,Premium Senior,165986.5,8241.69,2.3903719212172825,2.2195818667361222,-1.1207085607688636,0
46,68,3765.84,1986-11-09,11,68,37,youtube,Francia,2010-11-05,16741.3,4210.0,1741.83,Nicaragua,0.3213864588111178,0.4211263379013704,0.16576014744115034,Estándar Senior,65073.72,3231.09,-1.0892790579945248,-0.0040797236459650015,-0.7339120802256517,3
47,40,5347.575,1996-11-08,20,40,46,pasear,Estados Unidos,,44627.91,6820.0,2580.23,Estados Unidos,0.8908805338415361,0.6822046613984195,0.2504741417201265,Estándar Senior,92406.1,4588.22,-0.14514952710053292,1.420480828815093,-1.1847053744101104,0
48,33,5347.575,2020-01-20,2,33,47,mamposteria,Australia,1999-12-02,26890.4,6081.0,5096.815,Ucrania,0.5286490954991634,0.6082824847454236,0.5047560683572416,Estándar Senior,92406.1,4588.22,-0.04489058145398721,-0.27561830389648745,-0.2879614806818228,1
50,39,8658.71,,2,39,40,pesca,Argelia,2023-06-19,20135.54,7268.0,4409.75,Afganistán,0.3907028643990056,0.7270181054316295,0.4353333340069497,Premium Senior,149622.51,7429.17,1.9614546879672976,-0.8904076671612112,-0.9837844844796811,2
52,2,3547.97,1989-03-03,7,2,89,pretty cure,Argentina,1986-07-03,43515.24,3384.0,499.8,Corea del Sur,0.868157837448389,0.3385015504651395,0.04026238704716561,Estándar Senior,61308.92,3044.16,-1.3303724698422974,3.0406323744054804,-1.078433943621655,0
54,33,1534.27,2020-05-09,20,33,47,mamposteria,Australia,1999-12-02,26890.4,6081.0,5096.815,Ucrania,0.5286490954991634,0.6082824847454236,0.5047560683572416,Básico,26512.19,1316.4,-2.35021975314445,-0.39327520601843335,-0.21110320071038513,3
56,1,7667.22,2015-09-13,13,1,82,acampar,Desconocida,1984-12-25,37424.31,4687.0,8629.5,Estados Unidos,0.7437702354263066,0.4688406521956587,0.8617072335283116,Premium Senior,132489.56,6578.47,1.4170434775772431,0.5256071877300162,1.0795418321303856,0
57,32,5177.05,2005-02-10,3,32,41,la uas,Perú,2007-04-20,22126.5,9195.0,9997.56,Desconocido,0.4313618015599786,0.9197759327798339,0.999939374526995,Estándar Senior,89459.42,4441.91,0.027689736861736314,-2.5350713918567633,0.28409709890174434,1
59,87,5006.9,1993-10-12,2,87,29,porrismo,Palestina,2008-01-10,25644.82,1007.0,9830.81,Argentina,0.5032121409903009,0.10073021906571972,0.9830905451543573,Estándar Joven,86519.23,4295.92,-0.14643277062112092,-0.4026168237745271,3.148993949224182,1
61,77,2693.02,2000-11-26,3,77,18,deportes,Egipto,,11935.41,1457.0,6688.03,Desconocido,0.22324165453953596,0.1457437231169351,0.6655363384033068,Básico,46535.39,2310.61,-1.602235927432513,-1.0365428658609024,1.9766774487947913,1
62,10,93.03,1995-06-12,5,10,76,pretty cure,España,2002-02-28,25644.82,2419.0,7028.93,Corea del Sur,0.5032121409903009,0.24197259177753325,0.6999817113156435,Básico,1607.56,79.82,-3.2009103040385125,0.24215927755811392,1.4135539607535688,3
63,10,6266.42,1983-03-16,20,10,76,pretty cure,España,2002-02-28,25644.82,2419.0,7028.93,Corea del Sur,0.5032121409903009,0.24197259177753325,0.6999817113156435,Estándar Senior,108283.74,5376.59,0.5312042544253902,0.43263491232009754,1.2891275191232923,1
64,22,3262.1,2015-10-14,4,22,69,acampar,Costa Rica,1997-12-29,26794.98,8642.0,965.88,Canadá,0.5267004497283291,0.8644593378013404,0.08735625447744377,Estándar Senior,56369.09,2798.88,-1.4108726648889882,0.19129242218059203,-2.6769205605026265,3
65,24,5347.575,,16,24,52,la uas,Sudafrica,1996-07-17,45732.16,5431.0,1743.06,Canadá,0.9134312788891535,0.5432629788936681,0.16588442966081057,Estándar Senior,92406.1,4588.22,-0.18387125343922478,2.088200421969806,-1.0348848506185024,0
67,11,7886.81,2005-07-21,13,11,54,lectura,Estados Unidos,1997-08-27,28927.91,4930.0,719.41,Canadá,0.5702586662865493,0.493147944383315,0.06245232059154294,Premium Senior,136284.08,6766.88,1.3496703162335466,1.2759372709349908,-1.4356282245061474,0
68,38,9558.9,2018-05-27,3,38,30,pasear,Afganistan,2011-10-08,43847.11,735.0,5886.29,Japón,0.8749352119188014,0.07352205661698509,0.5845265605249357,Premium Joven,165177.79,8201.54,2.454924452665611,2.049258996366963,2.0185958266933866,0
69,19,2107.08,2013-02-21,20,19,79,lectura,Botsuana,1992-12-04,46451.23,4930.0,2417.43,Argentina,0.9281159646409219,0.493147944383315,0.2340244300447719,Básico,36410.34,1807.87,-2.1370768422086157,2.310815809295844,-0.8203304156717819,3
70,68,7145.31,,9,68,37,youtube,Francia,2010-11-05,16741.3,4210.0,1741.83,Nicaragua,0.3213864588111178,0.4211263379013704,0.16576014744115034,Premium Senior,123470.96,6130.68,0.953775862800885,0.10019150833151523,-0.8020262953354917,2
71,28,3988.45,2003-04-07,2,28,57,videojuegos,México,2012-10-15,25644.82,7902.0,8062.11,Corea del Sur,0.5032121409903009,0.7904371311393418,0.8043767549811404,Estándar Senior,68920.42,3422.09,-0.7680559317174196,-1.3936361442013723,-0.005071070982180473,1
72,9,1120.61,2016-05-07,3,9,41,historia,Perú,,19613.31,5189.0,8120.63,Afganistán,0.3800380008389266,0.5190557167150145,0.8102897594482273,Básico,19364.14,961.48,-2.5046423365030166,-1.470571912016281,1.0792703987469006,3
74,58,4252.3,2013-07-20,11,58,40,herreria,Canadá,2009-02-28,4783.93,7548.0,7312.84,Corea del Sur,0.07719573903748908,0.7550265079523857,0.7286686747170559,Estándar Senior,73479.74,3648.47,-0.5874821029206185,-2.885123349625976,-0.1833926129011339,1
75,31,9598.12,1985-01-12,6,31,74,tecnologia,Ucrania,2007-07-01,26761.95,2587.0,4159.47,Desconocido,0.5260259184999635,0.258777633289987,0.41004442836746713,Premium Senior,165855.51,8235.19,2.4628339913478485,1.190391236424021,0.24970680513642732,0
76,71,5347.575,2019-08-31,6,71,61,acampar,Perú,1985-10-06,26522.74,4080.0,1198.73,Rusia,0.5211408257013757,0.4081224367310193,0.11088399012613129,Estándar Senior,92406.1,4588.22,-0.1757657389082596,1.1929908063322456,-1.0270158706107915,0
77,33,4724.67,2006-05-10,1,33,47,mamposteria,Australia,1999-12-02,26890.4,6081.0,5096.815,Ucrania,0.5286490954991634,0.6082824847454236,0.5047560683572416,Estándar Senior,81642.3,4053.77,-0.4214663552513417,-0.29483757180115366,-0.2754066721935556,3
78,42,2218.57,2008-01-15,2,42,26,teatro,Estados Unidos,1986-04-21,16171.03,6467.0,7682.1,Desconocido,0.30974053317987055,0.6468940682204661,0.7659796116534284,Básico,38336.89,1903.53,-1.8323574754666905,-2.070243394329681,0.585224243100859,3
80,25,10413.8,2004-10-24,3,25,33,carpinteria,Israel,2003-03-02,25644.82,6777.0,7116.51,Desconocido,0.5032121409903009,0.6779033710113034,0.7088310095252722,Premium Joven,179950.46,8935.04,3.087882554613064,-0.9801197371679713,0.15650714633642204,2
81,7,537.43,1989-08-04,3,7,74,pesca,Estados Unidos,2009-10-29,39562.37,5141.0,5336.54,Nicaragua,0.7874332156902949,0.5142542762828849,0.5289784708841113,Básico,9286.79,461.11,-2.9858691998493554,0.9957854910766758,0.0800958127480917,3
82,13,3992.88,2016-06-10,1,13,53,television,Estados Unidos,1999-09-25,29536.9,4930.0,7254.89,México,0.5826953230459323,0.493147944383315,0.7228132644493237,Estándar Senior,68996.97,3425.89,-0.8177969298875015,-0.25281984105639754,0.8097997113063132,1
83,69,7085.36,1987-01-19,7,69,62,series,Italia,1989-07-01,23224.1,6010.0,1118.41,Desconocido,0.4537767418038227,0.6011803541062318,0.10276826013986298,Premium Senior,122435.02,6079.24,0.8934804764619798,0.5639909851345568,-1.7830631833580932,2
84,25,637.29,2009-07-27,2,25,33,carpinteria,Israel,2003-03-02,25644.82,6777.0,7116.51,Desconocido,0.5032121409903009,0.6779033710113034,0.7088310095252722,Básico,11012.37,546.79,-2.8224937943826345,-1.281767146196204,0.35355551831993165,3
85,70,4020.86,2018-04-04,10,70,20,yosakoi,Canadá,2015-07-18,10930.67,384.0,2175.26,Corea del Sur,0.202723080322517,0.03841152345703711,0.20955497871540688,Estándar Joven,69480.46,3449.9,-0.9359234439971071,0.2057815562273757,0.7990133839801221,3
86,60,5104.84,1988-06-07,4,60,80,porrismo,Costa Rica,1992-08-29,25644.82,1195.0,3256.57,Desconocido,0.5032121409903009,0.11953586075822746,0.31881319574045425,Estándar Senior,88211.64,4379.95,-0.28993347429577493,1.5682588242912063,0.4478345657230813,0
87,34,3646.78,2000-09-12,2,34,53,"comida,viajes",Egipto,1986-03-09,23253.77,9413.0,4640.8,Desconocido,0.45438265586817667,0.9415824747424227,0.4586791932366222,Estándar Senior,63016.36,3128.94,-1.0552354366021754,-1.2352449879819392,-1.6223845287462713,3
89,64,10283.6,,2,64,28,futbol,Japón,1998-07-01,10068.06,1345.0,1376.29,Canadá,0.18510705298674585,0.1345403621086326,0.12882508843740875,Premium Joven,177700.61,8823.33,2.8339409167687992,0.36772552490459853,0.002187575370601869,2
90,57,848.68,1998-01-17,14,57,42,futbol,Ucrania,1983-12-30,36551.28,1600.0,7601.86,Perú,0.7259414131949989,0.1600480144043213,0.7578719650635607,Básico,14665.19,728.17,-2.7445633229114645,0.7789914800864571,2.2843634457848485,3
91,20,10337.7,1983-05-02,14,20,63,porrismo,México,1989-06-16,11339.44,5382.0,9996.17,Desconocido,0.21107088929069867,0.5383615084525357,0.9997989255145333,Premium Senior,178635.46,8869.75,3.132012972318399,-2.0246403458962674,1.1619409796935574,1
92,98,4359.14,1994-03-27,16,98,55,pintura,México,2002-12-17,14510.2,71.0,3100.52,Canadá,0.2758234366008038,0.007102130639191758,0.3030455206364058,Estándar Senior,75325.94,3740.14,-0.7248770658316148,0.7405784237954092,0.9143796104214319,0
94,44,7349.78,1983-07-31,3,44,38,escultura,Perú,1999-11-04,14330.7,808.0,5096.815,Desconocido,0.2721577279876751,0.08082424727418225,0.5047560683572416,Premium Senior,127004.2,6306.11,1.15161821569599,0.01421001760056369,1.417188613926876,1
96,40,1477.8,2013-07-08,7,40,46,pasear,Estados Unidos,,44627.91,6820.0,2580.23,Estados Unidos,0.8908805338415361,0.6822046613984195,0.2504741417201265,Básico,25536.38,1267.95,-2.4846173597403864,1.301081594561486,-1.1067089321348573,3
99,80,2522.46,2006-02-01,10,80,24,herreria,Brasil,2004-09-25,47555.83,3376.0,9812.03,Corea del Sur,0.9506738573097906,0.33770131039311796,0.9811929678493012,Básico,43588.11,2164.27,-1.6711916305385262,0.5419044285588936,2.6506128623968213,1
100,26,4974.87,1995-04-24,6,26,48,geografia,Afganistan,1984-12-11,14385.05,6187.0,9789.93,Desconocido,0.2732676514591154,0.6188856656997099,0.9789599295936173,Estándar Senior,85965.75,4268.44,-0.11103435841639853,-2.275041380104666,1.0978587786998772,1
103,30,7386.97,1993-02-23,20,30,34,television,Desconocida,,3493.65,1062.0,9497.82,Rusia,0.050845931185970084,0.10623186956086826,0.9494444180611367,Premium Joven,127646.84,6338.02,1.3243634697518172,-1.8736726986101642,2.71090236068777,1
104,70,5560.0,2017-12-15,18,70,20,yosakoi,Canadá,2015-07-18,10930.67,384.0,2175.26,Corea del Sur,0.202723080322517,0.03841152345703711,0.20955497871540688,Estándar Joven,96076.8,4770.48,-0.005439014527934808,0.2532706162663629,0.7679915959997194,1
105,74,387.49,2013-06-21,2,74,69,alfareria,Brasil,,13446.62,4930.0,4053.1,Desconocido,0.25410324514257876,0.493147944383315,0.39929654242823204,Básico,6695.83,332.47,-3.0632297428726014,-0.6865921879705496,-0.47615331071051714,3
106,85,1102.61,2022-10-19,20,85,45,herreria,Francia,2023-01-01,31357.85,4930.0,2975.83,Estados Unidos,0.6198823542385598,0.493147944383315,0.29044653692141825,Básico,19053.1,946.04,-2.6889038058560866,0.6513586450349086,-0.4491927670287766,3
107,14,5496.88,2014-03-27,17,14,76,deportes,Botsuana,,49553.23,967.0,3581.3,Desconocido,0.9914643107017862,0.09672901870561168,0.3516247121553063,Estándar Senior,94986.09,4716.32,-0.09011428425630168,3.3109570652382203,0.8937620717960317,0
108,62,1270.26,1989-02-11,7,62,45,carpinteria,Canadá,2000-12-31,5600.87,7719.0,7628.95,Afganistán,0.09387910390885026,0.7721316394918476,0.7606092051697361,Básico,21950.09,1089.88,-2.382977464078311,-2.9718254573440386,-0.11531011138068849,3
110,67,8525.54,1997-04-16,14,67,66,deportes,Afganistan,2021-05-03,36324.19,4202.0,5285.25,Nicaragua,0.7213038323094536,0.4203260978293488,0.5237960033667346,Premium Senior,147321.33,7314.91,1.8432620243462021,1.1487353862227407,0.2623706033544114,0
111,79,3703.84,1996-06-07,15,79,82,carpinteria,Rusia,2007-08-15,39321.84,1292.0,5096.815,Canadá,0.7825211661487023,0.12923877163148945,0.5047560683572416,Estándar Senior,64002.36,3177.89,-1.1102722956999762,2.1421708445382226,1.1638404586653115,0
112,49,4062.11,2013-07-25,11,49,75,pintura,Japón,1993-10-15,17112.55,2966.0,8762.58,Ucrania,0.32896804278116804,0.2966890067020106,0.8751539634408189,Estándar Senior,70193.26,3485.29,-0.7307381714836559,-0.8001247013805816,1.6453717022049739,1
113,92,7172.82,1992-06-11,7,92,57,teatro,Botsuana,2000-06-22,47975.11,4132.0,1194.53,México,0.959236299133259,0.41332399719915974,0.11045961181509634,Premium Senior,123946.33,6154.28,0.8879489977269792,2.801169185181875,-0.8369568377614874,0
114,21,4546.13,2016-04-05,3,21,64,geografia,Estados Unidos,2003-01-05,16439.02,9906.0,7776.44,México,0.31521336466305916,0.9908972691807543,0.7755119568589133,Estándar Senior,78557.13,3900.58,-0.40803604490927353,-2.4080989695640542,-0.9429225877354693,2
115,92,7409.27,2008-02-19,12,92,57,teatro,Botsuana,2000-06-22,47975.11,4132.0,1194.53,México,0.959236299133259,0.41332399719915974,0.11045961181509634,Premium Senior,128032.19,6357.15,1.030893595714945,2.808464637293811,-0.8417225241838405,0
117,17,3062.99,1993-11-14,3,17,45,escultura,Australia,2022-09-10,29429.56,7161.0,9984.75,Desconocido,0.5805032497170564,0.7163148944683405,0.9986450206783383,Estándar Senior,52928.47,2628.05,-1.2817343552509592,-1.5170175148184857,1.045079361356301,1
118,65,10664.7,2001-03-17,9,65,63,series,Estados Unidos,2024-08-02,16955.73,8898.0,2043.61,España,0.32576550002511884,0.8900670201060318,0.1962527395135614,Premium Senior,184286.02,9150.31,3.118002405095793,-0.6831766858932209,-2.598322891759311,2
119,51,9161.99,1983-04-08,19,51,88,manga,Costa Rica,,36396.76,2340.0,7773.72,Desconocido,0.7227858405214578,0.2340702210663199,0.7752371213812908,Premium Senior,158319.19,7860.99,2.2781334966275644,1.314227605108383,1.4965910977419419,0
121,28,5062.32,2024-07-07,18,28,57,videojuegos,México,2012-10-15,25644.82,7902.0,8062.11,Corea del Sur,0.5032121409903009,0.7904371311393418,0.8043767549811404,Estándar Senior,87476.89,4343.47,-0.11884948652634775,-1.3605026463405152,-0.026715221126332803,1
122,11,5347.575,2001-10-22,14,11,54,lectura,Estados Unidos,1997-08-27,28927.91,4930.0,719.41,Canadá,0.5702586662865493,0.493147944383315,0.06245232059154294,Estándar Senior,92406.1,4588.22,-0.18541976285262365,1.1975910003019992,-1.3844492499247048,0
123,34,8443.17,2012-03-07,7,34,53,"comida,viajes",Egipto,1986-03-09,23253.77,9413.0,4640.8,Desconocido,0.45438265586817667,0.9415824747424227,0.4586791932366222,Premium Senior,145897.98,7244.24,1.8444147728475686,-1.0872557701858043,-1.7190571125811143,2
125,70,2314.9,2021-06-26,17,70,20,yosakoi,Canadá,2015-07-18,10930.67,384.0,2175.26,Corea del Sur,0.202723080322517,0.03841152345703711,0.20955497871540688,Básico,40001.47,1986.18,-1.9672606563304336,0.15314528070700964,0.8333975427301441,3
127,84,4735.36,2005-08-12,8,84,33,escultura,Egipto,,3247.41,6532.0,1909.15,Estados Unidos,0.04581727330910766,0.6533960188056417,0.1826665710131426,Estándar Joven,81827.02,4062.94,-0.45322151619471707,-1.6247248780718182,-1.5787114230680273,2
128,70,4425.44,2008-12-03,5,70,20,yosakoi,Canadá,2015-07-18,10930.67,384.0,2175.26,Corea del Sur,0.202723080322517,0.03841152345703711,0.20955497871540688,Estándar Joven,76471.6,3797.03,-0.6913351185635062,0.21826459119656816,0.7908589571742808,1
129,21,7259.66,1986-02-12,19,21,64,geografia,Estados Unidos,2003-01-05,16439.02,9906.0,7776.44,México,0.31521336466305916,0.9908972691807543,0.7755119568589133,Premium Senior,125446.92,6228.79,1.232424890683661,-2.324374894883476,-0.9976145629285645,2
130,71,5747.2,2011-08-15,10,71,61,acampar,Perú,1985-10-06,26522.74,4080.0,1198.73,Rusia,0.5211408257013757,0.4081224367310193,0.11088399012613129,Estándar Senior,99311.62,4931.1,0.06582740271188209,1.2053209763426718,-1.0350704398002315,0
131,94,8243.3,1999-02-07,7,94,56,beisbol,Sudafrica,2012-01-18,11503.46,5736.0,9396.08,Afganistán,0.2144204688267731,0.5737721316394918,0.9391643586885902,Premium Senior,142444.22,7072.75,1.8531959237207196,-2.106630897707516,0.9530096776968331,1
132,56,2809.08,2000-12-16,2,56,44,herreria,Sudafrica,1989-02-22,25644.82,4930.0,5279.53,Perú,0.5032121409903009,0.493147944383315,0.5232180405240869,Básico,48540.9,2410.19,-1.5798914661048569,-0.24381124175677704,0.2285025995771045,3
134,33,9535.1,1988-10-04,3,33,47,mamposteria,Australia,1999-12-02,26890.4,6081.0,5096.815,Ucrania,0.5286490954991634,0.6082824847454236,0.5047560683572416,Premium Senior,164766.53,8181.12,2.4866725667311016,-0.14641511625664114,-0.37236226456897215,2
135,64,4772.08,2017-03-04,15,64,28,futbol,Japón,1998-07-01,10068.06,1345.0,1376.29,Canadá,0.18510705298674585,0.1345403621086326,0.12882508843740875,Estándar Joven,82461.54,4094.44,-0.4980421553870186,0.19767136907871027,0.11327387530756815,3
